layer,order,image,default,상판 크기|책상 사이즈|상판사이즈|사이즈,상판 형태|상판 타입|상판 모서리|상판 쉐입|상판 엣지,상판 컬러|책상 상판 컬러|상판색상|상판컬러,프레임 컬러|프레임색상|프레임컬러,좌판 컬러|ALO체어 컬러|의자 컬러|의자 색상|좌판색상
frame,1,frame/basic-plus-white.png,,600 x 400,,,화이트,
frame,1,frame/basic-plus-black.png,,600 x 400,,,블랙,
frame,1,frame/basic-plus-white.png,Y,650 x 450,,,화이트,
frame,1,frame/basic-plus-black.png,,650 x 450,,,블랙,
frame,1,frame/wide-white.png,,700 x 500,,,화이트,
frame,1,frame/wide-black.png,,700 x 500,,,블랙,
top,2,top/basic-edge-light-gray.png,,600 x 400,엣지 상판,라이트 그레이,,
top,2,top/basic-edge-matte-white.png,,600 x 400,엣지 상판,매트 화이트,,
top,2,top/basic-edge-maple.png,,600 x 400,엣지 상판,메이플,,
top,2,top/basic-edge-moon-gray.png,,600 x 400,엣지 상판,문 그레이,,
top,2,top/basic-edge-beige.png,,600 x 400,엣지 상판,베이지,,
top,2,top/basic-edge-acacia.png,,600 x 400,엣지 상판,아카시아,,
top,2,top/basic-edge-walnut.png,,600 x 400,엣지 상판,월넛,,
top,2,top/basic-edge-pastel-green.png,,600 x 400,엣지 상판,파스텔 그린,,
top,2,top/basic-edge-high-gloss-white.png,,600 x 400,엣지 상판,하이글로시 화이트,,
top,2,top/basic-round-light-gray.png,,600 x 400,라운드 상판,라이트 그레이,,
top,2,top/basic-round-matte-white.png,,600 x 400,라운드 상판,매트 화이트,,
top,2,top/basic-round-maple.png,,600 x 400,라운드 상판,메이플,,
top,2,top/basic-round-moon-gray.png,,600 x 400,라운드 상판,문 그레이,,
top,2,top/basic-round-beige.png,,600 x 400,라운드 상판,베이지,,
top,2,top/basic-round-acacia.png,,600 x 400,라운드 상판,아카시아,,
top,2,top/basic-round-walnut.png,,600 x 400,라운드 상판,월넛,,
top,2,top/basic-round-pastel-green.png,,600 x 400,라운드 상판,파스텔 그린,,
top,2,top/basic-round-high-gloss-white.png,,600 x 400,라운드 상판,하이글로시 화이트,,
top,2,top/plus-edge-light-gray.png,,650 x 450,엣지 상판,라이트 그레이,,
top,2,top/plus-edge-matte-white.png,Y,650 x 450,엣지 상판,매트 화이트,,
top,2,top/plus-edge-maple.png,,650 x 450,엣지 상판,메이플,,
top,2,top/plus-edge-moon-gray.png,,650 x 450,엣지 상판,문 그레이,,
top,2,top/plus-edge-beige.png,,650 x 450,엣지 상판,베이지,,
top,2,top/plus-edge-acacia.png,,650 x 450,엣지 상판,아카시아,,
top,2,top/plus-edge-walnut.png,,650 x 450,엣지 상판,월넛,,
top,2,top/plus-edge-pastel-green.png,,650 x 450,엣지 상판,파스텔 그린,,
top,2,top/plus-edge-high-gloss-white.png,,650 x 450,엣지 상판,하이글로시 화이트,,
top,2,top/plus-round-light-gray.png,,650 x 450,라운드 상판,라이트 그레이,,
top,2,top/plus-round-matte-white.png,,650 x 450,라운드 상판,매트 화이트,,
top,2,top/plus-round-maple.png,,650 x 450,라운드 상판,메이플,,
top,2,top/plus-round-moon-gray.png,,650 x 450,라운드 상판,문 그레이,,
top,2,top/plus-round-beige.png,,650 x 450,라운드 상판,베이지,,
top,2,top/plus-round-acacia.png,,650 x 450,라운드 상판,아카시아,,
top,2,top/plus-round-walnut.png,,650 x 450,라운드 상판,월넛,,
top,2,top/plus-round-pastel-green.png,,650 x 450,라운드 상판,파스텔 그린,,
top,2,top/plus-round-high-gloss-white.png,,650 x 450,라운드 상판,하이글로시 화이트,,
top,2,top/wide-edge-light-gray.png,,700 x 500,엣지 상판,라이트 그레이,,
top,2,top/wide-edge-matte-white.png,,700 x 500,엣지 상판,매트 화이트,,
top,2,top/wide-edge-maple.png,,700 x 500,엣지 상판,메이플,,
top,2,top/wide-edge-moon-gray.png,,700 x 500,엣지 상판,문 그레이,,
top,2,top/wide-edge-beige.png,,700 x 500,엣지 상판,베이지,,
top,2,top/wide-edge-acacia.png,,700 x 500,엣지 상판,아카시아,,
top,2,top/wide-edge-walnut.png,,700 x 500,엣지 상판,월넛,,
top,2,top/wide-edge-pastel-green.png,,700 x 500,엣지 상판,파스텔 그린,,
top,2,top/wide-edge-high-gloss-white.png,,700 x 500,엣지 상판,하이글로시 화이트,,
top,2,top/wide-round-light-gray.png,,700 x 500,라운드 상판,라이트 그레이,,
top,2,top/wide-round-matte-white.png,,700 x 500,라운드 상판,매트 화이트,,
top,2,top/wide-round-maple.png,,700 x 500,라운드 상판,메이플,,
top,2,top/wide-round-moon-gray.png,,700 x 500,라운드 상판,문 그레이,,
top,2,top/wide-round-beige.png,,700 x 500,라운드 상판,베이지,,
top,2,top/wide-round-acacia.png,,700 x 500,라운드 상판,아카시아,,
top,2,top/wide-round-walnut.png,,700 x 500,라운드 상판,월넛,,
top,2,top/wide-round-pastel-green.png,,700 x 500,라운드 상판,파스텔 그린,,
top,2,top/wide-round-high-gloss-white.png,,700 x 500,라운드 상판,하이글로시 화이트,,
seat,3,seat/beige.png,,,,,,베이지
seat,3,seat/deep-green.png,,,,,,딥그린
seat,3,seat/pastel-green.png,,,,,,파스텔 그린
seat,3,seat/mocha-brown.png,,,,,,모카 브라운
seat,3,seat/butter-yellow.png,,,,,,버터 옐로우
seat,3,seat/black.png,Y,,,,,블랙
